taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	namePublishedInID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	modified	bibliographicCitation	references	license	rightsHolder	datasetName	institutionCode	datasetID	isMarine	isFreshwater	isTerrestrial	isExtinct	isBrackish	vernacularName	source	language	isPreferredName
urn:lsid:marinespecies.org:taxname:100012	urn:lsid:marinespecies.org:taxname:100012	urn:lsid:marinespecies.org:taxname:100012	urn:lsid:marinespecies.org:taxname:437310		Hypocreales	Hypocreales	Hypocreomycetidae			Fungi	Ascomycota	Sordariomycetes	Hypocreales						Order	Lindau, 1897	ICN	accepted		2016-12-02	Index Fungorum Partnership (2023). Index Fungorum. Hypocreales. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100012	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100012						1	1	1		1	köttkärnsvampar	PESI (A Pan-European Species directories Infrastructure) focal points	SWE	0
urn:lsid:marinespecies.org:taxname:100021	urn:lsid:marinespecies.org:taxname:100021	urn:lsid:marinespecies.org:taxname:100021	urn:lsid:marinespecies.org:taxname:177190		Agaricales	Agaricales	Agaricomycetidae			Fungi	Basidiomycota	Agaricomycetes	Agaricales						Order	Underw., 1899	ICN	accepted		2016-12-02	Index Fungorum Partnership (2023). Index Fungorum. Agaricales. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100021	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100021						1		1		1	agarics	PESI (A Pan-European Species directories Infrastructure) focal points	ENG	0
urn:lsid:marinespecies.org:taxname:100069	urn:lsid:marinespecies.org:taxname:100069	urn:lsid:marinespecies.org:taxname:100069	urn:lsid:marinespecies.org:taxname:100020		Xylariaceae	Xylariaceae	Xylariales			Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae					Family	Tul. & C. Tul., 1863	ICN	accepted		2016-12-02	Index Fungorum Partnership (2023). Index Fungorum. Xylariaceae Tul. & C. Tul., 1863. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100069	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100069						1		1			kolkärnsvampar	PESI (A Pan-European Species directories Infrastructure) focal points	SWE	0
urn:lsid:marinespecies.org:taxname:100072	urn:lsid:marinespecies.org:taxname:100072	urn:lsid:marinespecies.org:taxname:100072	urn:lsid:marinespecies.org:taxname:100021		Cortinariaceae	Cortinariaceae	Agaricales			Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae					Family	R. Heim, 1934	ICN	accepted		2016-12-02	Index Fungorum Partnership (2023). Index Fungorum. Cortinariaceae R. Heim, 1934. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100072	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100072						1		1			spindlingar	PESI (A Pan-European Species directories Infrastructure) focal points	SWE	0
urn:lsid:marinespecies.org:taxname:100075	urn:lsid:marinespecies.org:taxname:100075	urn:lsid:marinespecies.org:taxname:100075	urn:lsid:marinespecies.org:taxname:100021		Tulostomataceae	Tulostomataceae	Agaricales			Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tulostomataceae					Family	E. Fisch., 1900	ICN	accepted		2016-12-02	WoRMS (2023). Tulostomataceae E. Fisch., 1900. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100075	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100075						1					stjälkröksvampar	PESI (A Pan-European Species directories Infrastructure) focal points	SWE	0
urn:lsid:marinespecies.org:taxname:100107	urn:lsid:marinespecies.org:taxname:100107	urn:lsid:marinespecies.org:taxname:100107	urn:lsid:marinespecies.org:taxname:437356		Pontogeneia	Pontogeneia	Pezizomycotina incertae sedis			Fungi	Ascomycota	Pezizomycotina incertae sedis			Pontogeneia				Genus	Kohlm., 1975	ICN	accepted		2009-12-08	Index Fungorum Partnership (2023). Index Fungorum. Pontogeneia Kohlm., 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100107	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100107						1					アゴナガヨコエビ	Japan Agency for Marine-Earth Science and Technology. (2009 onwards). Biological Information System for Marine Life (BISMaL). Accessed on 2018-11-21.	JPN	0
urn:lsid:marinespecies.org:taxname:100200	urn:lsid:marinespecies.org:taxname:100200	urn:lsid:marinespecies.org:taxname:100200	urn:lsid:marinespecies.org:taxname:178055		Laccaria	Laccaria	Hydnangiaceae			Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria				Genus	Berk. & Broome, 1883	ICN	accepted		2009-12-10	Index Fungorum Partnership (2023). Index Fungorum. Laccaria Berk. & Broome, 1883. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100200	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100200						1					lakssopp	PESI (A Pan-European Species directories Infrastructure) focal points	NNO	0
urn:lsid:marinespecies.org:taxname:100200	urn:lsid:marinespecies.org:taxname:100200	urn:lsid:marinespecies.org:taxname:100200	urn:lsid:marinespecies.org:taxname:178055		Laccaria	Laccaria	Hydnangiaceae			Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria				Genus	Berk. & Broome, 1883	ICN	accepted		2009-12-10	Index Fungorum Partnership (2023). Index Fungorum. Laccaria Berk. & Broome, 1883. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100200	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100200						1					lakssopp	PESI (A Pan-European Species directories Infrastructure) focal points	NOB	0
urn:lsid:marinespecies.org:taxname:100201	urn:lsid:marinespecies.org:taxname:100201	urn:lsid:marinespecies.org:taxname:100201	urn:lsid:marinespecies.org:taxname:437909		Inocybe	Inocybe	Inocybaceae			Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe				Genus	(Fr.) Fr., 1863	ICN	accepted		2009-12-08	Index Fungorum Partnership (2023). Index Fungorum. Inocybe (Fr.) Fr., 1863. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100201	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100201						1		1			trevlesopp	PESI (A Pan-European Species directories Infrastructure) focal points	NNO	0
urn:lsid:marinespecies.org:taxname:100201	urn:lsid:marinespecies.org:taxname:100201	urn:lsid:marinespecies.org:taxname:100201	urn:lsid:marinespecies.org:taxname:437909		Inocybe	Inocybe	Inocybaceae			Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe				Genus	(Fr.) Fr., 1863	ICN	accepted		2009-12-08	Index Fungorum Partnership (2023). Index Fungorum. Inocybe (Fr.) Fr., 1863. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100201	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100201						1		1			trevlesopp	PESI (A Pan-European Species directories Infrastructure) focal points	NOB	0
